Iteration,BestCost
0,263960.032024
10,8257.505062
20,8244.187512
30,8244.187512
40,8244.187512
50,8241.779091
60,8241.779091
70,8241.779091
80,8241.779091
90,8241.779091
100,8241.779091
110,8241.779091
120,8241.779091
130,8241.779091
140,8241.779091
150,8241.779091
160,8241.779091
170,8241.779091
180,8241.779091
190,8241.779091
200,8238.522612
210,8238.522612
220,8238.522612
230,8238.522612
240,8238.522612
250,8238.522612
260,8238.522612
270,8238.522612
280,8238.522612
290,8238.522612
300,8238.522612
310,8238.522612
320,8238.522612
330,8238.522612
340,8238.522612
350,8238.522612
360,8238.522612
370,8238.522612
380,8238.522612
390,8238.522612
400,8238.522612
410,8238.522612
420,8238.522612
430,8238.522612
440,8237.702331
450,8237.702331
460,8237.702331
470,8237.702331
480,8237.702331
490,8237.702331
500,8237.702331
510,8237.702331
520,8237.702331
530,8237.702331
540,8237.702331
550,8237.702331
560,8237.702331
570,8237.702331
580,8237.702331
590,8237.702331
600,8237.702331
610,8237.702331
620,8237.702331
630,8237.702331
640,8237.702331
650,8237.702331
660,8237.702331
670,8237.702331
680,8237.702331
690,8237.702331
700,8237.702331
710,8237.702331
720,8228.883435
730,8228.883435
740,8228.883435
750,8228.883435
760,8228.883435
770,8228.883435
780,8228.883435
790,8228.883435
800,8228.883435
810,8228.883435
820,8228.883435
830,8228.883435
840,8228.883435
850,8228.883435
860,8228.883435
870,8228.883435
880,8228.883435
890,8228.883435
900,8228.883435
910,8228.883435
920,8228.883435
930,8228.883435
940,8228.883435
950,8228.883435
960,8228.883435
970,8228.883435
980,8228.883435
990,8228.883435
1000,8228.883435
1010,8228.883435
1020,8228.883435
1030,8228.883435
1040,8228.883435
1050,8228.883435
1060,8228.883435
1070,8228.883435
1080,8228.883435
1090,8228.883435
1100,8228.883435
1110,8228.883435
1120,8228.883435
1130,8228.883435
1140,8228.883435
1150,8228.883435
1160,8228.883435
1170,8228.883435
1180,8228.883435
1190,8228.883435
1200,8228.883435
1210,8228.883435
1220,8228.883435
1230,8228.883435
1240,8228.883435
1250,8228.883435
1260,8228.883435
1270,8228.883435
1280,8228.883435
1290,8228.883435
1300,8228.883435
1310,8228.883435
1320,8228.883435
1330,8228.883435
1340,8228.883435
1350,8228.883435
1360,8228.883435
1370,8228.883435
1380,8228.883435
1390,8228.883435
1400,8228.883435
1410,8228.883435
1420,8228.883435
1430,8228.883435
1440,8228.883435
1450,8228.883435
